formatted_address,name,place_id,types,price_level,res$results$geometry$location$lat,res$results$geometry$location$lng,res$results$opening_hours$open_now
"2 Pant Rd, Dowlais, Merthyr Tydfil CF48 3SH, UK",PayPoint,ChIJRUNzG-E6bkgReNCn2HAL3OM,atm|finance|point_of_interest|establishment,,51.7656004,-3.3571445,
"3-3A Lower High St, Merthyr Tydfil CF47 8EB, UK",ATM (Petrogas - Merthyr Tydfil),ChIJXQ_MCqA7bkgREpdKT8erItQ,atm|finance|point_of_interest|establishment,,51.7419368,-3.3759245,
"Merthyr Tydfil CF47 8ER, UK",Santander ATM,ChIJdYCA06A7bkgRNLqkPEc7KEI,atm|finance|point_of_interest|establishment,,51.7455447,-3.3790715,
"Retail Park Swansea Rd, Merthyr Tydfil CF48 1HY, UK",ATM (Matalan - Merthyr),ChIJ03bLj7o7bkgRsIx1IkxsS4k,atm|finance|point_of_interest|establishment,1,51.7498152,-3.3919238,TRUE
"Tramroad Siding, Merthyr Tydfil CF47 0AP, United Kingdom",ATM (Tesco),ChIJP2cDeqc7bkgROV7MlUEkZ7A,atm|finance|point_of_interest|establishment,,51.7480605,-3.3773584,
"Rhydycar Business Park, The Orbit Business Centre, A4102, Merthyr Tydfil CF48 1DH, UK",ATM,ChIJ9fV8IJ87bkgRWoeldgjiMe4,atm|finance|point_of_interest|establishment,,51.7377957,-3.3802869,
"9 Chestnut Way, Merthyr Tydfil CF47 9SB, UK",ATM,ChIJ6SsmXVU6bkgRArpXc026Kg4,atm|finance|point_of_interest|establishment,,51.762563,-3.3803241,
"7 Bryony Cl, Merthyr Tydfil CF47 0LL, UK",ATM,ChIJo9eBjQ07bkgR5hlE3Yd9lt0,atm|finance|point_of_interest|establishment,,51.7445748,-3.364195,
"4 Brecon Rd, Merthyr Tydfil CF47 8NH, UK",ATM,ChIJvZtvNqY7bkgReKvi2oGVqaQ,atm|finance|point_of_interest|establishment,,51.7500127,-3.3808406,
"Cyfarthfa Retail Park Unit 5 CF48 1HY, United Kingdom",ATM (Wilkinson),ChIJUateHnE7bkgR6RVT8lUvQQ4,atm|finance|point_of_interest|establishment,,51.750009,-3.3927346,
"192 Cae'r Wern, Merthyr Tydfil CF48 1AB, UK",ATM,ChIJ4e80l6M7bkgRBxPfW6oygiI,atm|finance|point_of_interest|establishment,,51.7442143,-3.384814,
"58 Church St, Pen-y-Darren, Merthyr Tydfil CF47 9HR, UK",ATM,ChIJTXGHTQM7bkgRBoBAsbUr7n4,atm|finance|point_of_interest|establishment,,51.7575903,-3.3647342,
"Gurnos, Merthyr Tydfil CF47 9DT, UK",ATM Prince Charles Hospital,ChIJ-00jglM6bkgRuGRRyxMvBIE,atm|finance|point_of_interest|establishment,,51.7641255,-3.3853323,TRUE
"Queen's Rd, Merthyr Tydfil CF47 0LU, UK",ATM,ChIJXSGkwgs7bkgR7B6HHYSGMoY,atm|finance|point_of_interest|establishment,,51.74522,-3.37155,
"Plymouth St, Merthyr Tydfil CF47 0TP, UK",ATM,ChIJ7-wSR7I7bkgRV1w3wk069NM,atm|finance|point_of_interest|establishment,,51.741298,-3.376938,
"38 Heol S O Davies, Merthyr Tydfil CF48 1DR, UK",ATM (Lifestyle),ChIJuz8SqaU7bkgRTcTImiCv0fA,atm|finance|point_of_interest|establishment,,51.7485925,-3.3859082,
"31 High St, Cefn-coed-y-cymmer, Merthyr Tydfil CF48 2PG, UK",ATM,ChIJi9ktv7Q7bkgRk6EEwoVwU-4,atm|finance|point_of_interest|establishment,,51.7598993,-3.398551,
"47 High St, Merthyr Tydfil CF47 8DL, UK",Barclays Bank,ChIJV682xKA7bkgRx0DQiAp1S64,bank|atm|finance|point_of_interest|establishment,,51.7448957,-3.3782798,TRUE
"20 Church St, Merthyr Tydfil CF47 0AY, UK",Lloyds Cash Points,ChIJK2QnR6c7bkgREpgdBH9jX4Q,atm|finance|point_of_interest|establishment,,51.746684,-3.3767525,
"7 Y Ganolfan, Dowlais, Merthyr Tydfil CF48 3LT, UK",ATM,ChIJqfGWtR87bkgRz_Ezv8vnD34,atm|finance|point_of_interest|establishment,,51.7607162,-3.3557426,
"5 Queen St, Rhyl LL18 1RS, UK",NatWest ATM,ChIJKxlgrj8oZUgR4yIPpuSaDPc,atm|finance|point_of_interest|establishment,,53.3202739,-3.4912808,TRUE
"9 Castle St, Llangollen LL20 8PB, UK",ATM Barclays Bank,ChIJEf5lYNC1ekgRub6ezdXlg04,atm|finance|point_of_interest|establishment,,52.9702365,-3.1701326,TRUE
"St Peter's Square, Ruthin LL15 1AB, UK",HSBC Bank,ChIJATJaSBYzZUgRbiRjFzDeYHk,bank|atm|finance|point_of_interest|establishment,,53.1145227,-3.3102306,TRUE
"32-34 High St, Rhyl LL18 1ET, UK",Post Office ATM,ChIJ8xty_z4oZUgRE7ETO_pTcF8,atm|finance|point_of_interest|establishment,2,53.3211639,-3.4907146,TRUE
"28-30 Henllan St, Denbigh LL16 3PD, UK",ATM (Premier),ChIJGa3B7j0uZUgRMl61zaWuPxE,atm|finance|point_of_interest|establishment,,53.1841752,-3.4247456,TRUE
"The Square, St Asaph Rd, Trefnant, Denbigh LL16 5TY, UK",ATM,ChIJFy02iZEuZUgR45hRf1nUPd8,atm|finance|point_of_interest|establishment,,53.2248144,-3.4219142,
"Rhyl Rd, Denbigh LL16 5SU, UK",ATM (Shell Castle View),ChIJ56AC_nIuZUgRSDqSlQvzMBE,atm|finance|point_of_interest|establishment,,53.1933532,-3.4081213,
"Sainsburys, Rhuddlan Rd, Rhuddlan, Rhyl LL18 2RG, United Kingdom",Sainsbury's Bank ATM,ChIJWU3DflMoZUgR0xmyL4WkiX8,atm|finance|point_of_interest|establishment,2,53.3028668,-3.4678314,
"Rhyl Coast Rd, Rhyl LL18 3UU, UK",ATM (Lyons Robin Hood Holiday Park),ChIJo0UG-M8pZUgR8Fy2cH0BwNo,atm|finance|point_of_interest|establishment,,53.3292511,-3.4551262,
"17 Vale St, Denbigh LL16 3AG, UK",ATM,ChIJbfmKvhYuZUgRvz73P-i0OzY,atm|finance|point_of_interest|establishment,,53.1841111,-3.4185231,
"Marine Rd, Prestatyn LL19 7HD, UK",Londis ATM,ChIJi_zlkQYqZUgRewJ_zNaE-64,atm|finance|point_of_interest|establishment,,53.3376787,-3.4068017,TRUE
"83 Rhyl Rd, Denbigh LL16 3DY, UK",ATM (Martins),ChIJX7vUGQ0uZUgR_IxnXHXtzSI,atm|finance|point_of_interest|establishment,,53.1915298,-3.4090783,TRUE
"Smithfield Rd, Denbigh LL16 3RQ, UK",ATM,ChIJXb96gT0uZUgRY5Am-UdtKF0,atm|finance|point_of_interest|establishment,,53.1817733,-3.424454,
"Llandyrnog, Denbigh LL16 4HG, UK",ATM,ChIJiaOQmH4tZUgRpJRbhDu5cp8,atm|finance|point_of_interest|establishment,,53.1754141,-3.3367524,
"Bodelwyddan, Rhyl LL18 5UJ, UK",ATM,ChIJOR1ASrwoZUgR9DmQ0UVcO8E,atm|finance|point_of_interest|establishment,,53.2717551,-3.4963452,
"Heol Esgob Stores, Heol Esgob, Saint Asaph LL17 0PN, UK",ATM,ChIJp7aAXSwpZUgR78xJxKn2mHs,atm|finance|point_of_interest|establishment,,53.2574025,-3.4516123,
"131-136 High St, Rhuddlan, Rhyl LL18 2UA, UK",ATM,ChIJ5cP2MvwoZUgRVgM7pONqkcs,atm|finance|point_of_interest|establishment,,53.29169,-3.4658444,
"Gronant, Prestatyn LL19 9TT, United Kingdom",ATM,ChIJR1DTrGTVZEgR1RP9YvkSi-0,atm|finance|point_of_interest|establishment,,53.34955,-3.35077,TRUE
"Denmore Premier Foodstore, 97 Rhyl Coast Rd, Rhyl LL18 3PW, UK",ATM (Denmore Premier),ChIJ_5PF3jIoZUgRQxP832opReM,atm|finance|point_of_interest|establishment,,53.3270276,-3.4695266,TRUE
"Park Rd, Ruthin LL15 1NB, UK",ATM (MRH - Ruthin),ChIJ1ZKkyRYzZUgRLPHboXkj_gM,atm|finance|point_of_interest|establishment,,53.1142503,-3.3149985,
"High St, Wool, Wareham BH20 6BP, UK",PayPoint,ChIJ_dLEu8Cqc0gRLODLBmH7ySk,atm|finance|point_of_interest|establishment,,50.6796961,-2.2189332,
"100 High St, Poole BH15 1BL, UK",Barclays Cashpoint,ChIJT7DucMKmc0gR-zQiWU33ENs,atm|finance|point_of_interest|establishment,,50.7153561,-1.9844277,TRUE
"165-167, High St, Poole BH15 1AU, UK",HSBC,ChIJ__-jA-mmc0gRyTttAPhA-hQ,atm|finance|point_of_interest|establishment,,50.7172974,-1.9822077,TRUE
"Technology Rd, Poole BH17 7DA, UK",ATM (Premier Inn - Poole North),ChIJb2pkl4Kmc0gRXQUSj_J51V0,atm|finance|point_of_interest|establishment,,50.7445782,-1.9948916,TRUE
"1 Factory Rd, Poole BH16 5SJ, UK",ATM (Testlink),ChIJVb5N_3Kmc0gRgTGxg9Zgki8,atm|finance|point_of_interest|establishment,,50.7367145,-2.0247461,
"101 High St, Poole BH15 1AJ, UK",ATM,ChIJjeQcpuimc0gR7sVI0yOcfss,atm|finance|point_of_interest|establishment,,50.7149734,-1.9840624,TRUE
"Waterloo Rd, Poole BH17 7EJ, UK",Cashpoint,ChIJpQi1ep6mc0gRs3yPg7ZTLZg,atm|finance|point_of_interest|establishment,,50.7404002,-1.9891742,TRUE
"3 Banks Rd, Poole BH13 7PW, UK",ATM (Tesco),ChIJecFeycKgc0gRe2eNv3GsiQA,atm|finance|point_of_interest|establishment,,50.6957999,-1.9314307,TRUE
"Longfleet Rd, Poole BH15 2JB, UK",ATM (Poole Hospital N H S Trust),ChIJhRLlJMGmc0gRST5lI0pguvw,atm|finance|point_of_interest|establishment,,50.7218712,-1.9740534,TRUE
"West Quay Road, Asda, Poole BH15 1JQ, United Kingdom",Barclays ATM,ChIJncYn7u6mc0gRDkNJ2GuEDBM,atm|finance|point_of_interest|establishment,,50.7182209,-1.9866624,TRUE
"106 Victoria Ave, Swanage BH19 1AS, UK",ATM,ChIJX071KA0Jc0gRczgAwflxkSU,atm|finance|point_of_interest|establishment,,50.6131504,-1.9721871,TRUE
"31 Blandford Rd, Poole BH15 4AT, UK",ATM,ChIJ7by-sPmmc0gRvZ0_GGUa-2k,atm|finance|point_of_interest|establishment,,50.7120264,-1.9968978,TRUE
"121 Parkstone Rd, Poole BH15 2PB, UK",ATM (Park Gates Premier Store),ChIJbwWFpMmmc0gRvhvkozIoPHk,atm|finance|point_of_interest|establishment,,50.7230657,-1.9632731,
"Wimborne Rd, Poole BH15 2BP, UK",ATM (Gaming International - Poole Stadium Ltd),ChIJVTu6KcCmc0gRzFIS17ZSGwM,atm|finance|point_of_interest|establishment,,50.7227631,-1.9789701,
"R A C Tank Museum, Bovington, Wareham BH20 6JG, UK",ATM,ChIJa30smitVckgR85EPaggr9Gw,atm|finance|point_of_interest|establishment,,50.6951428,-2.2425638,
"4 The Triangle, Poole BH16 5PG, UK",Barclays ATM,ChIJh1JWjwymc0gRt2ZxFhyRm54,atm|finance|point_of_interest|establishment,,50.7390213,-2.0302639,TRUE
"29 Carey Rd, Wareham BH20 4AY, UK",Cashpoint,ChIJ_bv0j6Kpc0gRgMZyc-5PIIg,atm|finance|point_of_interest|establishment,,50.6933321,-2.1189055,
"1-14 St John's Hill, Wareham BH20 4FP, UK",Cashpoint,ChIJP_cS7bmpc0gRKNTBQEiIl30,atm|finance|point_of_interest|establishment,,50.6855642,-2.1085388,TRUE
"High St, Poole BH15 1AB, UK",Sainsbury's Bank ATM,ChIJ5-edkeWmc0gRLs2NwIEsvt0,atm|finance|point_of_interest|establishment,2,50.7136372,-1.9862885,
"11 Pitwines Cl, Poole BH15 1XU, UK",Sainsbury's Bank ATM,ChIJVdRsVuimc0gR77hbWFoJVf0,atm|finance|point_of_interest|establishment,2,50.7166003,-1.9814391,TRUE
"336 Cheriton Rd, Folkestone CT19 4DP, UK",ATM (Shell Folkestone),ChIJiRgMcTS_3kcR8ic9ik65PAo,atm|finance|point_of_interest|establishment,,51.0869973,1.1494656,
"70-72 Sandgate Rd, Folkestone CT20 2AA, UK",HALIFAX,ChIJLyd_itq-3kcRatnnu4Xtop0,atm|finance|point_of_interest|establishment,,51.0783474,1.1778911,
"128 Sandgate Rd, Folkestone CT20 1AZ, UK",Sainsbury's Bank ATM,ChIJ43rP9dm-3kcREhgeCMSNu5o,atm|finance|point_of_interest|establishment,2,51.077851,1.1748776,TRUE
"The Ship, 23 The Stade, Folkestone CT19 6AB, UK",ATM,ChIJqf-KuMi-3kcRSGFn3X2NWmI,atm|finance|point_of_interest|establishment,,51.0806454,1.1877959,
"21 Guildhall St, Folkestone CT20 1EE, UK",ATM,ChIJo02fE9C-3kcRomJ1PlMkn_s,atm|finance|point_of_interest|establishment,,51.0804448,1.1796444,TRUE
"5 Town Walk, Folkestone CT20 2AD, UK",Santander ATM,ChIJU2FRPtq-3kcRW6U3vUj3UZ8,atm|finance|point_of_interest|establishment,,51.0780542,1.1762147,TRUE
"97 Dover Rd, Folkestone CT20 1LA, UK",ATM,ChIJsZHopc--3kcRBFS2pJ-vkSk,atm|finance|point_of_interest|establishment,,51.0842357,1.1850412,
"Dover Rd, Folkestone CT19 6NH, UK",ATM (Tesco),ChIJ65leP8u-3kcR0b2j2E1J7WM,atm|finance|point_of_interest|establishment,,51.0883086,1.1877807,
"The Harbour, Marine Parade, FOLKSTONE CT20 1TX, UK",ATM,ChIJ4Udhk8W-3kcRZHQFmLtg-2s,atm|finance|point_of_interest|establishment,,51.0785422,1.1852395,TRUE
"Cheriton High St, Cheriton CT19 4JE, UK",ATM (BP Cheriton Convenience Store),ChIJpT3eZU2_3kcRmu0sotmS37o,atm|finance|point_of_interest|establishment,,51.0887136,1.135321,TRUE
"19 Bouverie Place, Asda, Folkestone CT20 1AU, United Kingdom",Barclays ATM,ChIJ7xuUcNC-3kcRsPWMzrG_1q0,atm|finance|point_of_interest|establishment,,51.0798891,1.1787558,TRUE
"37-39 Canterbury Rd, Folkestone CT19 5NH, UK",ATM,ChIJ14EM9sy-3kcRtmd-MPrSEe4,atm|finance|point_of_interest|establishment,1,51.0872228,1.1852023,TRUE
"Enbrook Park, Sandgate High Street, Folkestone CT20 3SE, United Kingdom",ATM (Saga Group Ltd),ChIJ8X6pPTm_3kcRH8iqpTrKqNM,atm|finance|point_of_interest|establishment,,51.0757,1.14913,
"99 Enbrook Valley, Folkestone CT20 3NE, UK",ATM,ChIJDYoK0ze_3kcR1fYaZrT6UTU,atm|finance|point_of_interest|establishment,,51.08223,1.1459667,
"107 Canterbury Rd, Hawkinge, Folkestone CT18 7BS, UK",ATM,ChIJE0aiSOG43kcRcez7Kx_h4PE,atm|finance|point_of_interest|establishment,,51.1156104,1.1646548,TRUE
"Eurotunnel, Terminal Building, Vehicle Departure Rd, Folkestone CT18 8XX, UK",ATM,ChIJRcVz_lXH3kcRZvVZw2d3TpM,atm|finance|point_of_interest|establishment,,51.09559,1.12205,
"Purbeck House, Canterbury Rd, Lyminge, Folkestone CT18 8HU, UK",ATM,ChIJDcMl5AjH3kcRgoQ9-2z5_J8,atm|finance|point_of_interest|establishment,,51.1286015,1.0910162,
"Cherry Garden Ln, Folkestone CT19 4AP, UK",ATM,ChIJa_kK8sy43kcRiHPjqRDfNIo,atm|finance|point_of_interest|establishment,,51.0938714,1.1564213,
"Defiant Cl, Hawkinge, Folkestone CT18 7RU, UK",ATM,ChIJC9jZhee43kcR9BHHwPy9Ews,atm|finance|point_of_interest|establishment,,51.1110666,1.1602343,TRUE
"127A Black Bull Rd, Folkestone CT19 5NU, UK",ATM,ChIJTxAsvNK-3kcR8dPJSQG5dGU,atm|finance|point_of_interest|establishment,,51.0887698,1.1801951,TRUE
"2 Moorfields, Liverpool L2 2BS, UK",ATM Moorfields Train Station,ChIJGSHszjEhe0gR8krCDOJf-uY,atm|finance|point_of_interest|establishment,,53.408266,-2.9886953,TRUE
"86-88 N Hill St, Liverpool L8 8AG, UK",paypoint,ChIJecA1guYge0gRE4QmOeVETmM,atm|finance|point_of_interest|establishment,,53.3885554,-2.9641664,
"Gower St, Liverpool L3 4AD, UK","Bank Machine, ATM",ChIJx5-vSiohe0gRqTUVdzRavJw,atm|finance|point_of_interest|establishment,,53.3990693,-2.9919961,TRUE
"512 Mather Ave, Liverpool L19 4UG, UK",PayPoint,ChIJk80tshwge0gRMmikjLu_2h8,atm|finance|point_of_interest|establishment,,53.3664088,-2.8932245,
"Renshaw St, Liverpool L1 1DB, UK",ATM,ChIJrcG2eCQhe0gR4k3utXVni8s,atm|finance|point_of_interest|establishment,,53.4042412,-2.9774723,TRUE
"James St, Liverpool L2 7PQ, UK",ATM (James Street Station),ChIJhdUm0S0he0gR3UlmCZuhG3I,atm|finance|point_of_interest|establishment,,53.4047834,-2.9919901,TRUE
"Swanside Ave, Liverpool L14 7QH, UK",ATM Today's Extra Swanside,ChIJR0QncGYfe0gRLDFbDw-dRss,atm|finance|point_of_interest|establishment,,53.4160974,-2.8815798,TRUE
"James St, Liverpool L2 7PQ, UK",LINK ATM,ChIJZ-oyzC0he0gRw8Ux6hRAdnM,atm|finance|point_of_interest|establishment,,53.4048012,-2.9919668,TRUE
"44 Chaloner St, Liverpool L3 4BF, UK",LINK,ChIJO5wxkdcge0gRtHg4c9hEtPY,atm|finance|point_of_interest|establishment,,53.3947887,-2.9844031,
"120 Stanley Park Ave N, Liverpool L4 9UF, UK",ATM (Post Office),ChIJe_J5vNQje0gRzWc7FkubvVQ,atm|finance|point_of_interest|establishment,2,53.4452145,-2.950054,TRUE
"St John's Shopping Centre, Houghton St, Liverpool L1 1LY, United Kingdom",ATM (St Johns Shopping Centre),ChIJh_v6JCUhe0gRlPKvpGLc3BA,atm|finance|point_of_interest|establishment,,53.4063161,-2.9817182,TRUE
"188 Duke St, Liverpool L1 5EL, UK",Cashpoint,ChIJ8SYELyEhe0gRVwP90N9r3fE,atm|finance|point_of_interest|establishment,,53.3999791,-2.9764554,
"Phoenix House Moorgate Road, Deacon Park, Liverpool L33 7RX, United Kingdom",ATM (Vertex Data Science Ltd),ChIJgaB-a-wYe0gRFMSXl98iuM0,atm|finance|point_of_interest|establishment,,53.47078,-2.86695,
"138 Liverpool Rd, Huyton, Liverpool L36 3RH, UK",ATM (Post Office),ChIJIbXSHD4fe0gRyIL5dxlq9wA,atm|finance|point_of_interest|establishment,2,53.4215472,-2.8607653,TRUE
"50 St James St, Liverpool L1 0AB, UK",ATM,ChIJFYGFgiche0gRUsCnathnhQU,atm|finance|point_of_interest|establishment,,53.397159,-2.9803857,TRUE
"Fairclough St, Liverpool L1 1QE, UK",Natwest ATM,ChIJb1ZYWCQhe0gRmw13ctEwqHw,atm|finance|point_of_interest|establishment,,53.4046959,-2.9799195,TRUE
"I M Marsh Campus, Barkhill Rd, Liverpool L17 6BD, UK",ATM (Liverpool John Moores University Students Union Sh),ChIJQ2s4HGwge0gRmFpIApryc6A,atm|finance|point_of_interest|establishment,,53.3703498,-2.920309,TRUE
"Canning Pl, Liverpool L1 8JX, UK",ATM Cash Machine,ChIJKeVUXCche0gRLe9KbAGr71A,atm|finance|point_of_interest|establishment,,53.4019039,-2.9890708,TRUE
"S John St, Liverpool L1 8BU, UK",ATM,ChIJvXMK4i4he0gR5ytGUfpyCNQ,atm|finance|point_of_interest|establishment,,53.4041578,-2.9875369,TRUE
"3 Byrom St, Liverpool L3 3AF, UK",ATM,ChIJ9-5g1jshe0gRYHhERgStTic,atm|finance|point_of_interest|establishment,,53.4126846,-2.9811497,
"Barnetby Interchange, Barnetby DN20 0PA, UK",PayPoint,ChIJkcBXMDbteEgRDGnB_GbJjCw,atm|finance|point_of_interest|establishment,,53.5859791,-0.4156642,
"Market Pl, Epworth, Doncaster DN9 1EU, UK",ATM,ChIJzeSNhoMCeUgROrQHWeg2Kec,atm|finance|point_of_interest|establishment,,53.5251411,-0.8198557,TRUE
"Burringham Rd, Scunthorpe DN17 2XF, UK",ATM,ChIJjYoTWsrkeEgRBLmvfIgrbRQ,atm|finance|point_of_interest|establishment,1,53.5654516,-0.6843079,
"Middle St, Lincolnshire LN7 6EA, UK",ATM (Butchers Arms),ChIJf6UX1j_zeEgRjxGGMf-tQDM,atm|finance|point_of_interest|establishment,,53.5001757,-0.4302171,
"Gallagher Park, Scunthorpe DN15 8GR, United Kingdom",ATM,ChIJLe3IYpHkeEgRWov4UT8iV-4,atm|finance|point_of_interest|establishment,,53.5902855,-0.6960053,TRUE
"140A High St, Scunthorpe DN15 6EN, UK",Santander ATM,ChIJ9VWMYRrleEgREs7Sv8ubJWU,atm|finance|point_of_interest|establishment,,53.5913751,-0.6501997,
"181 Hessle Rd, Hull HU3 4AA, UK",ATM,ChIJSc-e4H-VeEgRD6DcNfEoBdA,atm|finance|point_of_interest|establishment,,53.7359621,-0.359402,TRUE
"98 Fox St, Scunthorpe DN15 7LD, UK",Sainsbury's Bank ATM,ChIJX_-rdB3leEgRyhz1JD7jSIY,atm|finance|point_of_interest|establishment,2,53.5916469,-0.6600169,TRUE
"40 Newland Ave, Scunthorpe DN15 7HQ, UK",ATM,ChIJC5o06ObkeEgRjUKVW0Aq_DY,atm|finance|point_of_interest|establishment,,53.5872927,-0.6701476,
"21 Victoria St, Hessle HU13 9NL, UK",Sainsbury's Bank ATM,ChIJixSvebDqeEgRdoGQt2EZhZg,atm|finance|point_of_interest|establishment,2,53.7231571,-0.4207433,
"391 Pelham Rd, Immingham DN40 1NG, UK",ATM (Sainsburys),ChIJo308qY6QeEgRicw83sqNmNg,atm|finance|point_of_interest|establishment,2,53.6125549,-0.2222451,TRUE
"72 Oswald Rd, Scunthorpe DN15 7PG, UK",ATM,ChIJZ1MgZhnleEgRnacv_Ql7toM,atm|finance|point_of_interest|establishment,,53.5882949,-0.6532909,
"198 Cemetery Rd, Scunthorpe DN16 1NU, UK",ATM,ChIJy-mTdjzleEgRuAlfuBOimrI,atm|finance|point_of_interest|establishment,,53.5773707,-0.6442076,
"Lakeside Parkway, Scunthorpe, Morrisons, Humberside DN16 3UA, United Kingdom",Barclays ATM,ChIJw-gvWFTleEgRLs5bnmMLzrI,atm|finance|point_of_interest|establishment,,53.5644659,-0.6142185,TRUE
"24 Victoria Rd, Barnetby DN38 6HT, UK",ATM,ChIJv-9MS03teEgRhpW6unPMAtg,atm|finance|point_of_interest|establishment,,53.5748114,-0.4061799,TRUE
"Ashby Rd, Scunthorpe DN16 2AQ, UK",ATM,ChIJY6TJcybleEgR2vbyKsbco6Q,atm|finance|point_of_interest|establishment,,53.5762487,-0.6561778,
"13 Wendover Rd, Messingham, Scunthorpe DN17 3SN, UK",ATM,ChIJI66FtuT6eEgRfswkPQxqQxA,atm|finance|point_of_interest|establishment,,53.5298764,-0.6526969,
"49-53 Skillings Ln, Brough HU15 1BA, UK",ATM,ChIJ-ZPvdC_oeEgRp73j_w6QS9c,atm|finance|point_of_interest|establishment,,53.7275092,-0.5734045,TRUE
"85 Cottage Beck Rd, Scunthorpe DN16 1UE, UK",ATM,ChIJo04eORbleEgR3qCx_IHi5AY,atm|finance|point_of_interest|establishment,,53.5846847,-0.6444798,
"The Old Showground, Doncaster Rd, Scunthorpe DN15 7RQ, UK",ATM,ChIJtZ2MURzleEgRd8Zhz7wL1OI,atm|finance|point_of_interest|establishment,,53.5909393,-0.6558075,TRUE
"483A Great Western Rd, Aberdeen AB10 6NN, UK",CashZone ATM,ChIJzQr7Q8wRhEgR-T1fyyIMjOA,atm|finance|point_of_interest|establishment,,57.1321274,-2.1352442,TRUE
"Castle Road, Ellon, Aberdeenshire AB41 9RY, United Kingdom",ATM,ChIJiRWdG2hxhEgRFWY3U3ssTgg,atm|finance|point_of_interest|establishment,,57.36788,-2.04464,TRUE
"c/o Aberdeen International Airport, Dyce, Aberdeen AB21 7DU, United Kingdom",ATM,ChIJb1kEALwThEgRgZHfAIkZHtg,atm|finance|point_of_interest|establishment,,57.2002733,-2.2039538,TRUE
"170 Springfield Rd, Aberdeen AB15 7SD, UK",Cashzone ATM,ChIJ1Vp6xbARhEgRqQKTxh0hvBI,atm|finance|point_of_interest|establishment,,57.1374585,-2.1537129,
"60-66 Mid Stocket Rd, Aberdeen AB15 5JB, UK",ATM (Spar(CJ Lang)Aberdeen),ChIJEaKHdd0RhEgRfVLdCEB5Teo,atm|finance|point_of_interest|establishment,,57.149802,-2.128074,
"Seaforth St, Fraserburgh AB43 9BB, UK",ATM (Bank Of Scotland),ChIJjUylgRaBhEgRArzif0-u8yI,atm|finance|point_of_interest|establishment,,57.69122,-2.00495,TRUE
"Asda, Jesmond Dr, Bridge of Don, Aberdeen AB22 8WQ, UK",ATM,ChIJrcbDEQoShEgRFLugNWf5z0g,atm|finance|point_of_interest|establishment,1,57.1909291,-2.1229107,TRUE
"The Pkwy, Bridge of Don, Aberdeen AB22 8AL, UK",ATM (Buckie Farm),ChIJ5drM2wcShEgRQwMIYVThkdI,atm|finance|point_of_interest|establishment,,57.1845238,-2.1221507,
"247 Heathryfold Cir, Aberdeen AB16 7DY, UK",PayPoint,ChIJkyBnq4kRhEgRjAH3CiXjjNw,atm|finance|point_of_interest|establishment,,57.1704323,-2.1594185,
"Viewfield Cres, Aberdeen AB15 7XQ, UK",ATM,ChIJGcJx27URhEgReD-gqK0fQP0,atm|finance|point_of_interest|establishment,,57.1331432,-2.1476468,TRUE
"292 Rosemount Pl, Aberdeen AB25 2YA, UK",Clydesdale Bank ATM,ChIJkS5dbN4RhEgRdoVyMoBFgN4,atm|finance|point_of_interest|establishment,,57.1494535,-2.1229496,TRUE
"66 Garthdee Dr, Aberdeen AB10 7HY, UK",ATM (Post Office),ChIJd1BgFDIQhEgR5U2m6Emxq30,post_office|atm|finance|point_of_interest|establishment,2,57.1241238,-2.1298905,TRUE
"Garthdee Road, Aberdeen AB10 7FY, United Kingdom",ATM (Robert Gordon University - Aberdeen Business Schoo),ChIJoxLW4DcQhEgRHOrnYLECLV8,atm|finance|point_of_interest|establishment,,57.1181,-2.14365,
"153 Duff St, Macduff AB44 1PS, UK",ATM,ChIJsd2GWUv0hEgRkBJvZE1hxiM,atm|finance|point_of_interest|establishment,,57.665688,-2.4884409,
"1 Lintmill Terrace, Aberdeen AB16 7SR, UK",Link,ChIJuQd3OoQRhEgRWvgbNrwCoFw,atm|finance|point_of_interest|establishment,,57.1662901,-2.1677382,
"79 Ellon Rd, Bridge of Don, Aberdeen AB23 8BY, UK",ATM,ChIJgYPcpucNhEgRT3OIlQWxzpg,atm|finance|point_of_interest|establishment,,57.1827869,-2.092005,TRUE
"40 Albyn Pl, Aberdeen AB10 1YN, UK",ATM,ChIJ04E3zNsRhEgRNhUv56A83nE,atm|finance|point_of_interest|establishment,,57.1427952,-2.1252445,TRUE
"33 Summerhill Dr, Aberdeen AB15 6EQ, UK",ATM,ChIJk0Y3K5YRhEgREuLe_ra4mIc,atm|finance|point_of_interest|establishment,2,57.1505599,-2.1588272,TRUE
"Eday Road, Aberdeen AB15 6XS, United Kingdom",ATM,ChIJZUUcTKARhEgRMAlm26kS-aw,atm|finance|point_of_interest|establishment,,57.1479885,-2.1728944,
"Main Rd, Methlick, Ellon AB41 7DT, UK",ATM,ChIJkechNURvhEgRWRUQsDq9BaY,atm|finance|point_of_interest|establishment,1,57.4265123,-2.2408153,
"24 Downshire Rd, Carneyhough Court, Newry BT34 1EE, UK",ATM (Tesco),ChIJEZA3xqfcYEgR5gzN9ZiwhCo,atm|finance|point_of_interest|establishment,,54.1825702,-6.3329344,
"32 Buttercrane Quay, Newry BT35 8HJ, UK",ATM (Poundland Newry),ChIJVw1fq1PbYEgRx5fdCfCWAug,atm|finance|point_of_interest|establishment,1,54.1718449,-6.3417296,TRUE
