formatted_address,name,place_id,types,price_level,res$results$geometry$location$lat,res$results$geometry$location$lng,res$results$opening_hours$open_now
"13 St Thomas Centre, Cowick St, Exeter EX4 1DF, United Kingdom",ATM,ChIJ4XjiQS6kbUgRc9LKEQF3VCw,atm|finance|point_of_interest|establishment,,50.7175828,-3.5401692,
"Turks Head Lane, Honiton EX14 1BQ, United Kingdom",ATM,ChIJ1d1CPVGFbUgRFJujav_PKvs,atm|finance|point_of_interest|establishment,,50.79522,-3.20619,
"100 Buddle Ln, Exeter EX4 1QT, UK",ATM (Southern Coop Buddle Lane),ChIJ85mjqNKlbUgRRJzRPzTCLdE,atm|finance|point_of_interest|establishment,,50.7186998,-3.548576,
"69-73 Sidwell St, Exeter EX4 6PJ, UK",ATM (Tesco),ChIJxW_YDxWkbUgRGOHqg8xj0hk,atm|finance|point_of_interest|establishment,,50.7283542,-3.5223361,TRUE
"Gladstone Road, Off Heavitree Road, Exeter EX1 2ED, United Kingdom",ATM (Waitrose Exeter),ChIJN-pfkBGkbUgRZi8N8EcN9QU,atm|finance|point_of_interest|establishment,,50.7244,-3.514,TRUE
"57 Magdalen Rd, Exeter EX2 4TA, UK",ATM,ChIJFZP-oRekbUgRChHTXVoKf-g,atm|finance|point_of_interest|establishment,,50.7210963,-3.5205583,TRUE
"Exmouth Leisure Amusements, Queen's Dr, Exmouth EX8 2AY, UK",ATM,ChIJw33ek74KbUgR1I_RO2jV_IY,atm|finance|point_of_interest|establishment,,50.6126758,-3.4072104,
"1 Cowbridge Rd, Pontyclun CF72 9EE, UK",Tesco Cash Point,ChIJpfimd2QRbkgR0X16sWLWfA0,atm|finance|point_of_interest|establishment,,51.5230019,-3.3909714,TRUE
"27-29 Cowbridge Rd, Pontyclun CF72 9EA, UK",ATM,ChIJ9waUOGQRbkgRhwXoWfgqpAw,atm|finance|point_of_interest|establishment,,51.5225628,-3.3915205,
"3 Ely Valley Rd, Talbot Green, Pontyclun CF72 8AL, UK",Hsbc ATM,ChIJg-BCrkURbkgR6Fi30nq9Gtg,atm|finance|point_of_interest|establishment,,51.5377852,-3.3852961,TRUE
"16 Ely Valley Rd, Talbot Green, Pontyclun CF72 8AP, UK",ATM (HSBC),ChIJSecnr0URbkgRoHPKRFKRGrE,atm|finance|point_of_interest|establishment,,51.537779,-3.3852973,TRUE
"39 Cowbridge Rd, Brynsadler, Pontyclun CF72 9EB, UK",Lloyds Bank,ChIJWzgB_NcTbkgRGwvfgRQK0cI,bank|atm|finance|point_of_interest|establishment,,51.5222479,-3.3918862,TRUE
"6 Southgate Ave, Llantrisant, Pontyclun CF72 8DQ, UK",ATM,ChIJBYhRlDkRbkgRPqy26i94tAE,atm|finance|point_of_interest|establishment,,51.5387231,-3.3716036,
"24 Cowbridge Rd, Pontyclun CF72 9EE, UK",ATM (Tesco),ChIJJxYYPy0SbkgR84Fe77Jus6A,atm|finance|point_of_interest|establishment,,51.50659,-3.4084714,
"Talbot Green Bypass, Pontyclum CF72 8RB, United Kingdom",ATM (Tesco),ChIJW4D9yUYRbkgRNGq2xbEjDm0,atm|finance|point_of_interest|establishment,,51.5347934,-3.3779278,TRUE
"Llanharan Service Station, A473, Llanharan, Pontyclun CF72 9NR, UK",ATM,ChIJW8ILzpETbkgRxAkP88-HWos,atm|finance|point_of_interest|establishment,,51.53773,-3.43559,
"Tyaloch Road, Llanharry, Pontyclun CF72 9LH, UK",ATM,ChIJi-kYorETbkgRNQhsUp0Ozlk,atm|finance|point_of_interest|establishment,,51.5142421,-3.4324502,
"Ely Valley Rd, Llantrisant CF72 8LL, UK",ATM (Llantrisant Befeater),ChIJlU73dU4RbkgRRNh-6FnG6-M,atm|finance|point_of_interest|establishment,,51.5450845,-3.3878593,
"30 Cowbridge Rd, Pontyclun CF72 9EE, UK",Dragon Savers Credit Union,ChIJ7csPbmQRbkgRMte08MNK20k,atm|finance|point_of_interest|establishment,,51.5222693,-3.392476,
"Llantrisant, Pontyclun CF72 8XR, UK",ATM,ChIJZZlxkowRbkgRx6cBUSpR0_4,atm|finance|point_of_interest|establishment,,51.5478771,-3.3910947,TRUE
"Bridgend Rd, Pontyclun CF72 9RP, UK",ATM (Premier),ChIJn51xC3YTbkgRj-pctuGBMEU,atm|finance|point_of_interest|establishment,,51.5329625,-3.452541,
"32 Southall St, Brynna, Pontyclun CF72 9QH, UK",ATM,ChIJdfIR8noTbkgRfB6NsnEO38w,atm|finance|point_of_interest|establishment,,51.5393316,-3.4624074,
"11 Tynant Rd, Beddau, Pontypridd CF38 2DA, UK",ATM,ChIJL4dc4tUWbkgRCrdhpPehG3U,atm|finance|point_of_interest|establishment,,51.5561709,-3.3539976,
"3 Ely Valley Rd, Talbot Green, Pontyclun CF72 8AL, UK",Barclays Bank,ChIJMWFiu0URbkgRGJco6peZEPU,bank|atm|finance|point_of_interest|establishment,,51.5378232,-3.3845565,TRUE
"Common Approach, Beddau, Pontypridd CF38 2BL, UK",ATM,ChIJkydrltUWbkgRhI1Nj8F4hSc,atm|finance|point_of_interest|establishment,,51.5543785,-3.3546352,
"Llantwit Fardre, Pontypridd CF38 2LS, UK",ATM (Texaco Nisa),ChIJNfQYsywXbkgRPFf8bKVfkGg,atm|finance|point_of_interest|establishment,,51.551668,-3.3455854,
"Main Rd, Church Village, Pontypridd CF38 1RL, UK",PayPoint,ChIJmcSujlsXbkgRabczbFmMMBk,atm|finance|point_of_interest|establishment,,51.5677164,-3.31317,
